Gender,Category,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Feature_1,Feature_2,Material_2,Feature_3,Feature_4,Feature_5,Material_3,Material_4,Material_5,Material_6,Feature_6,Feature_7,Feature_8,Material_7,Material_8,Feature_9
women,Leggings & Tights,2019-12-08,11,Nike Women's Pro AeroAdapt Tights,nike,55.99,https://www.dickssportinggoods.com/p/nike-womens-pro-aeroadapt-tights-19nikwrdptprtghtxapb/19nikwrdptprtghtxapb,all/any Spandex,單向導溼快乾,,Spandex 11~20%,,,,Polyester Blended,,,,,,,,,
women,Leggings & Tights,2019-12-08,13,Nike Women's Power Racer Running Tights,nike,48.75,https://www.dickssportinggoods.com/p/nike-womens-power-racer-running-tights-18nikwrcrwrmtghtxapb/18nikwrcrwrmtghtxapb,all/any Spandex,保暖禦寒,反光功能,Polyester Blended,,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-12-08,1,DSG Women's Performance 7/8 Leggings,dsg_outerwear,24.98,https://www.dickssportinggoods.com/p/dsg-womens-performance-7-8-leggings-19qyfwcrprfrmnc78waa/19qyfwcrprfrmnc78waa,Spandex 11~20%,涼爽透氣,,Polyester Blended,,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-12-08,2,CALIA by Carrie Underwood Women's Energize 7/8 Leggings,calia_by_carrie_underwood,65.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-energize-7-8-leggings-17ca2wlghtwghtprfapbb/17ca2wlghtwghtprfapbb,Spandex 11~20%,蒸發性涼感,輕量,Polyamide(Nylon) Blended,超輕量,抗菌功能,單向導溼快乾,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-12-08,3,CALIA by Carrie Underwood Women's Essential High Rise 7/8 Leggings,underwood,41.97,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-high-rise-7-8-leggings-19ca2wssntlhr78lgapb/19ca2wssntlhr78lgapb,all/any Spandex,蒸發性涼感,涼爽透氣,Polyester Blended,結構性透氣,抗菌功能,單向導溼快乾,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-12-08,4,CALIA by Carrie Underwood Women's Essential High Rise 7/8 Leggings,underwood,65.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-high-rise-7-8-leggings-19ca2wclssntlhrtlapb/19ca2wclssntlhrtlapb,Spandex 11~20%,蒸發性涼感,涼爽透氣,Polyamide(Nylon) Blended,單向導溼快乾,結構性透氣,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-12-08,5,Nike One Women's 7/8 Tights,nike,41.25,https://www.dickssportinggoods.com/p/nike-one-womens-7-8-training-tights-18nikwlln78thmshtapb/18nikwlln78thmshtapb,,涼爽透氣,結構性透氣,,,,,,,,,,,,,,
women,"Leggings & Tights,Pants",2019-12-08,6,Under Armour Women's HeatGear Armour Ankle Crop Leggings,under_armour,31.50,https://www.dickssportinggoods.com/p/under-armour-womens-heatgear-armour-ankle-crop-leggings-18uarwhgrmrnklcrpapb/18uarwhgrmrnklcrpapb,Polyester Blended,單向導溼快乾,提升運動效能設計,Spandex 11~20%,輕量,超輕量,人體工學舒適設計,all/any Spandex,,,,舒適平滑縫合,,,,,
women,Leggings & Tights,2019-12-08,7,CALIA by Carrie Underwood Women's Essential 7/8 Leggings,calia_by_carrie_underwood,65.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-7-8-leggings-17ca2wssntl78lggnapb/17ca2wssntl78lggnapb,Spandex 11~20%,蒸發性涼感,抗菌功能,Polyamide(Nylon) Blended,單向導溼快乾,,,all/any Spandex,,,,,,,,,
women,Leggings & Tights,2019-12-08,8,Nike One Women's Glam Dunk 7/8 Training Tights,nike,59.99,https://www.dickssportinggoods.com/p/nike-one-womens-glam-dunk-7-8-training-tights-19nikwglmdnkntghtapb/19nikwglmdnkntghtapb,Polyester Blended,單向導溼快乾,環保訴求,all/any Spandex,,,,Spandex >= 21%,Recycled Polyester & Blended,Recycled Polyester / PET,,,,,,,
women,Leggings & Tights,2019-12-08,9,CALIA by Carrie Underwood Women's Seamless 7/8 Leggings,underwood,31.97,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-seamless-7-8-leggings-18ca2wsmlsslggngxapb/18ca2wsmlsslggngxapb,Polyamide(Nylon) Blended,蒸發性涼感,單向導溼快乾,Polyester Blended,抗菌功能,一體成型,,Spandex <= 10%,all/any Spandex,,,,,,,,
women,Leggings & Tights,2019-12-08,10,Women's Nike Pro Heatherized 7/8 Leggings,nike,37.99,https://www.dickssportinggoods.com/p/womens-nike-pro-heatherized-7-8-leggings-19nikwhthrzd78thtapb/19nikwhthrzd78thtapb,all/any Spandex,涼爽透氣,結構性透氣,Polyester Blended,,,,Spandex 11~20%,,,,,,,,,
women,Pants,2019-12-08,1,Nike Women's Sportswear Essential Fleece Pants,nike,60,https://www.dickssportinggoods.com/p/nike-womens-sportswear-essential-fleece-pants-19nikwssntljggrxxapb/19nikwssntljggrxxapb,Cotton Blended,刷毛布,,Polyester Blended,,,,,,,,,,,,,
women,Pants,2019-12-08,2,Nike Women's Sportswear Essential Fleece Pants,nike,45.00,https://www.dickssportinggoods.com/p/nike-womens-sportswear-essential-fleece-pants-19nikwssntllspntxapb/19nikwssntllspntxapb,Polyester Blended,刷毛布,,Cotton Blended,,,,,,,,,,,,,
women,Leggings & Tights,2019-12-08,3,Nike Women's Pro Training Tights,nike,37.50,https://www.dickssportinggoods.com/p/nike-womens-pro-training-tights-18nikwprtghtxxxxxapba/18nikwprtghtxxxxxapba,Spandex 11~20%,涼爽透氣,結構性透氣,Polyester Blended,,,,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,4,adidas Women's Tiro 19 Training Pants,adidas,33.75,https://www.dickssportinggoods.com/p/adidas-womens-tiro-19-training-pants-18adiwtr19pntxxxxapb/18adiwtr19pntxxxxapb,100% Polyester,蒸發性涼感,涼爽透氣,,結構性透氣,,,,,,,,,,,,
women,Leggings & Tights,2019-12-08,5,Nike Women's Pro Tights,nike,37.50,https://www.dickssportinggoods.com/p/nike-womens-pro-warm-tights-19nikwprwrmtghtxxapb/19nikwprwrmtghtxxapb,Spandex 11~20%,保暖禦寒,單向導溼快乾,Polyester Blended,,,,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,6,adidas Women's Post Game Solid 3-Stripe Jogger Pants,adidas,33.75,https://www.dickssportinggoods.com/p/adidas-womens-post-game-solid-3-stripe-jogger-pants-19adiwpstgmsld3spapb/19adiwpstgmsld3spapb,Polyester Blended,,,Cotton Blended,,,,,,,,,,,,,
women,Pants,2019-12-08,7,Champion Women's PowerBlend Fleece Jogger,champion,29.98,https://www.dickssportinggoods.com/p/champion-womens-powerblend-fleece-jogger-19chawpwrblndjggrapb/19chawpwrblndjggrapb,Polyester Blended,刷毛布,,Cotton Blended,,,,,,,,,,,,,
women,Leggings & Tights,2019-12-08,8,Nike One Women's Sculpt Victory Training Tights,nike,45.00,https://www.dickssportinggoods.com/p/nike-one-womens-sculpt-victory-training-tights-18nikwsclptvctrytapb/18nikwsclptvctrytapb,Spandex 11~20%,提升運動效能設計,單向導溼快乾,Polyester Blended,,,,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,9,Columbia Women's Modern Mountain 2.0 Pants,columbia,79.99,https://www.dickssportinggoods.com/p/columbia-womens-modern-mountain-2-0-pants-16cmbwwmnsmdrnmntaoa/16cmbwwmnsmdrnmntaoa,100% Polyester,撥水,,100% Polyamide(Nylon),,,,,,,,,,,,,
women,Pants,2019-12-08,10,Under Armour Women's Armour Fleece Jogger Pants,under_armour,41.25,https://www.dickssportinggoods.com/p/under-armour-womens-armour-fleece-jogger-pants-18uarwrmrflcjggrxapb/18uarwrmrflcjggrxapb,100% Polyester,四面彈,刷毛布,,涼爽透氣,保暖禦寒,單向導溼快乾,,,,,,,,,,
women,Pants,2019-12-08,11,Nike Women's Therma Fleece Training Pants,nike,44.99,https://www.dickssportinggoods.com/p/nike-womens-therma-fleece-training-pants-19nikwthrmlltmzppapb/19nikwthrmlltmzppapb,all/any Spandex,保暖禦寒,刷毛布,Polyester Blended,單向導溼快乾,,,Spandex <= 10%,,,,,,,,,
women,Leggings & Tights,2019-12-08,12,adidas Women's Must Haves Badge Of Sport Tights,adidas,24.99,https://www.dickssportinggoods.com/p/adidas-womens-must-haves-badge-of-sport-tights-18adiwmsthvsbslggapb/18adiwmsthvsbslggapb,all/any Spandex,,,Spandex <= 10%,,,,Cotton Blended,,,,,,,,,
women,Pants,2019-12-08,13,Outdoor Gear Women's Peak Bib,gear,44.99,https://www.dickssportinggoods.com/p/outdoor-gear-womens-peak-bibs-15ogewwpkbbxxxxxxaoa/15ogewwpkbbxxxxxxaoa,Polyamide(Nylon) Blended,撥水,,,,,,,,,,,,,,,
