,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Material_4,Feature_5,Feature_6,Material_5,Feature_7,Material_6,Feature_8,Feature_9
18,women,2019-01-06,19,Baleaf Women's Fleece Lined Leggings Yoga Pants Inner Pocket,baleaf,24.99,https://www.amazon.com/Baleaf-Womens-Fleece-Leggings-Pocket/dp/B075FQYX9L,Spandex 11~20%,all/any Spandex,Polyester Blended,涼爽透氣,保暖禦寒,單向導溼快乾,舒適平滑縫合,,刷毛布,舒適伸展,,,,,
19,women,2019-01-06,20,WANNEW Yoga Pants for Women High Waist Tummy Control Athletic Leggings 4-Way Stretch,wannew,15.49,https://www.amazon.com/WANNEW-Control-Athletic-Leggings-Stretch/dp/B07HVY6SHW,Spandex 11~20%,all/any Spandex,Polyester Blended,提升運動效能設計,四面彈,單向導溼快乾,舒適平滑縫合,,舒適伸展,,,,,,
20,women,2019-01-06,21,Dragon Fit Compression Yoga Pants Power Stretch Workout Leggings High Waist Tummy Control,dragon,25.48,https://www.amazon.com/Dragon-Fit-Compression-Stretch-Leggings/dp/B07DL1BKW5,Cotton Blended,all/any Spandex,Polyamide(Nylon) Blended,提升運動效能設計,涼爽透氣,四面彈,單向導溼快乾,,,,,,,,
21,women,2019-01-06,22,90 Degree By Reflex High Waist Tummy Control Fleece Lined Leggings Women,90degreebyreflex,22.99,https://www.amazon.com/90-Degree-Reflex-Fleece-Leggings/dp/B016XKDUP2,all/any Spandex,Spandex <= 10%,Spandex 11~20%,刷毛布,保暖禦寒,羽絨,提升運動效能設計,Polyester Blended,Athleisure,反光功能,,舒適伸展,,,
22,women,2019-01-06,23,"Fengbay High Waist Yoga Pants, Pocket Yoga Pants Tummy Control Workout Running 4 Way Stretch Yoga Leggings",fengbay,15.25,https://www.amazon.com/Fengbay-Control-Workout-Running-Leggings/dp/B07GXM2RR3,,,,保暖禦寒,單向導溼快乾,提升運動效能設計,四面彈,,舒適伸展,,,,,,
23,women,2019-01-06,24,adidas Originals Women's 3-Stripes Leggings,adidas,59.06,https://www.amazon.com/adidas-Originals-Womens-3-Stripes-Leggings/dp/B011L2TZ3I,all/any Spandex,Cotton Blended,Spandex <= 10%,,,,,,,,,,,,
24,women,2019-01-06,25,adidas Women's Athletics Essential Linear Tights,adidas,62.155,https://www.amazon.com/adidas-Womens-Athletics-Essential-Linear/dp/B01HPMT8JE,all/any Spandex,Cotton Blended,Spandex <= 10%,舒適伸展,,,,,,,,,,,
25,women,2019-01-06,26,"CompressionZ High Waisted Women's Leggings - Smart, Flexible Compression for Yoga, Running, Fitness & Everyday Wear",compressionz,27.43,https://www.amazon.com/CompressionZ-High-Waisted-Womens-Leggings/dp/B015QOIFLK,,,,提升運動效能設計,單向導溼快乾,,,,,,,,,,
26,women,2019-01-06,27,"Bamans Yoga Dress Pants,?Tummy Control Workout Leggings for Women, Office Strechy Skinny Pants",bamans,17.49,https://www.amazon.com/Bamans-Control-Workout-Leggings-Strechy/dp/B071HQX9KB,Spandex 11~20%,all/any Spandex,Polyester Blended,,,,,,,,,,,,
27,women,2019-01-06,28,LifeSky Yoga Pants for Women with Pockets High Waist Tummy Control Leggings 4 Way Stretch Soft & Slim Active Pants,lifesky,19.99,https://www.amazon.com/LifeSky-Pockets-Control-Leggings-Stretch/dp/B07KQ6Q3WJ,Spandex >= 21%,all/any Spandex,Polyester Blended,舒適伸展,單向導溼快乾,四面彈,,,,,,,,,
